ra,dec,parallax,g_mag,bp_rp
264.4546051115967,-3.2503703530947434,-4.601758759260822,20.426483,1.9200497
264.3940090678248,-3.2832063531648945,-4.590300928525965,20.456923,1.0136108
264.3992294422511,-3.19859489220877,-4.579109702992624,20.850138,1.0029278
264.4728510465115,-3.276490835361809,-4.56405152645432,20.727005,1.2813396
264.4294501877559,-3.293796017037862,-4.558393570818059,20.667559,2.015892
264.4168517492783,-3.258407006319434,-4.530449843852211,16.707783,1.3947678
264.4064980156942,-3.2111093487785722,-4.52145166174529,20.224972,1.2207699
264.43045577497645,-3.228977138269186,-4.465524569911141,20.094954,1.5053921
264.4169688042163,-3.2315658506586487,-4.464607053486239,18.839912,1.5902138
264.3613895275258,-3.2341687713465834,-4.436542065946194,20.33027,1.2329578
264.39571776901226,-3.2283660034394934,-4.42541098917804,18.606005,1.6522465
264.360495366174,-3.1791350286812494,-4.419180460201718,20.85269,2.079115
264.4110210766881,-3.3057794425307834,-4.4115426103660065,20.374325,1.4296246
264.3927034882718,-3.2037371496493705,-4.398726994110018,20.658907,0.87537384
264.37399863151796,-3.232338409897942,-4.389534545097411,19.793036,1.3352337
264.3789512257644,-3.2260077085670167,-4.388925776930817,19.293566,1.613491
264.3948595224477,-3.2364884874039346,-4.384204226301609,18.735607,1.9026394
264.4388639389245,-3.1641882770122227,-4.366244803070849,20.72913,1.8170586
264.45385976291305,-3.343367795653924,-4.3647517599699786,20.732918,1.2232971
264.36123985958335,-3.1972372242348253,-4.357241820019584,20.452242,1.5518513
264.371181103638,-3.2792886006278037,-4.336795379958771,20.386396,3.553999
264.3739895182257,-3.277199528750182,-4.318448807530397,19.958004,1.4186249
264.42614493834617,-3.2470392330058164,-4.311491975198379,19.721085,1.1038895
264.36792363282973,-3.2177645397833787,-4.309381247600928,20.575947,1.3602638
264.4277673459762,-3.283690396593835,-4.305357265877613,20.713495,2.0646572
264.37686853904165,-3.267639234849884,-4.283554219808839,19.7555,1.5210075
264.4208566132642,-3.247607732138458,-4.279734739831695,18.4612,1.3859434
264.4313374056749,-3.2688563894558156,-4.275001591316277,20.519505,1.4385376
264.4517276343802,-3.253394172515879,-4.267994874435579,20.808094,1.3274784
264.41719662829996,-3.2759731014197775,-4.243754159849262,20.45609,1.7025013
264.41769551342526,-3.2261240257635606,-4.202764854052412,20.011843,1.68577
264.44817313465296,-3.2798343022611025,-4.196963315747982,20.739164,1.7182293
264.4135809781932,-3.2499254284063075,-4.190595756773723,18.88816,1.5965824
264.36233663722936,-3.233796049013963,-4.189926463701613,19.936558,1.4651108
264.4021174162553,-3.2174360451726396,-4.153154029000478,19.869532,1.4719238
264.40249454279336,-3.202313942117064,-4.137274855892015,20.315664,1.689291
264.42146699345346,-3.229762814796138,-4.117290633459993,19.688326,1.3710518
264.38336373575146,-3.1825379544933394,-4.11450180590404,20.593365,0.7820778
264.403856182758,-3.180448082226503,-4.108711324637099,20.808632,0.93089867
264.3878228863425,-3.2707675695681013,-4.100602068839817,19.878912,2.5960789
264.42810712077403,-3.1982648640666613,-4.0845929068970435,19.76943,1.6147633
264.3384388137982,-3.2237206632352753,-4.037015940620245,20.855326,1.3627548
264.3550055944644,-3.225566233418679,-4.034857859171935,20.516111,1.0989304
264.3726702382435,-3.229104265535386,-4.0345633026072525,19.778162,1.2599831
264.35493499005065,-3.212518705225037,-4.029864821075827,20.439674,1.4536991
264.4139752690593,-3.280583175919311,-4.02491524655219,20.288973,1.566927
264.35959689752735,-3.241289336171284,-4.010584758866348,20.07309,1.3979168
264.37749445588213,-3.31289806849945,-3.997907633581752,20.590288,1.487278
264.4338840176129,-3.2578550654412863,-3.9938139777469694,20.091578,1.0585175
264.4478423044567,-3.2740777827777476,-3.9892530910715855,20.001461,1.5304661
264.5046202312952,-3.249156507929542,-3.97805324043329,20.767675,1.4924393
264.3675074102626,-3.232154905721884,-3.977849511819578,19.926098,1.5393734
264.37173121167905,-3.2500291058792437,-3.9637048931799534,19.617292,1.5203648
264.37163438632643,-3.2210481291507205,-3.9634465511895756,19.83516,1.056654
264.4134237990908,-3.197452537955901,-3.962053234291653,20.437838,1.4387894
264.4642519937034,-3.3015699562802334,-3.9506712705120264,20.315771,1.482275
264.43573232433585,-3.1896633043703297,-3.9383326994199033,20.783363,2.0027008
264.4597968547499,-3.2386148876661536,-3.8985714995923058,20.573885,1.2905407
264.37732579857015,-3.233466005529422,-3.89162849433445,18.91488,1.6600895
264.38758450390327,-3.2396344326545767,-3.885356420302397,17.920921,1.711648
264.3716708896779,-3.282002265458687,-3.8644192484305764,20.331062,1.6783428
264.43823429087456,-3.254879266704054,-3.8513419978116596,19.845232,1.2544098
264.3593354645412,-3.257429719004041,-3.844464781346483,19.7705,1.5587902
264.38414719035967,-3.2876472785004776,-3.822443556848722,19.87094,1.5816574
264.3705515741466,-3.313420828528473,-3.807253802581915,20.791006,1.3152313
264.4148632892633,-3.2146622386904875,-3.7980798289051196,20.60752,2.0489197
264.4015461585988,-3.259024642317177,-3.780754084998987,17.571796,1.5443535
264.439077001985,-3.1969757775410694,-3.7793546519227412,20.651005,1.3143482
264.39650848885344,-3.2177660912903185,-3.77710730995686,19.476007,1.5074463
264.39478892367566,-3.280646590990435,-3.7750357030217043,20.257923,1.188364
264.41123806501326,-3.1742341227971447,-3.7426099342797,20.421644,1.3575783
264.4372893892601,-3.230413639001029,-3.7345627902708043,20.071896,1.3936405
264.39631341340515,-3.199225121778757,-3.7270820484183442,20.00451,1.5308838
264.3853711252034,-3.2375823706040094,-3.7189944741829306,17.681437,1.4728708
264.35607512257565,-3.207415626073456,-3.71587416201469,20.233295,1.6529446
264.409902033194,-3.306741193984644,-3.7153665100232285,20.576986,1.3090706
264.35826418209325,-3.2439486965175672,-3.7143113880126117,20.087671,1.3856773
264.416925490848,-3.3058838966712907,-3.6920734451441373,20.675373,1.2625351
264.40527180276763,-3.3027536123943224,-3.677954696014409,20.39337,1.2207012
264.3729428554685,-3.249846952800255,-3.676462770639656,19.865383,1.1465797
264.45486965408287,-3.2018750777301825,-3.6763209483193395,20.522055,1.6511021
264.4002662886281,-3.2718458273213877,-3.6357560674390643,19.616568,1.5573006
264.42024049542533,-3.222558723105738,-3.6309935297526117,20.035032,1.6479836
264.42838772380617,-3.158750200305652,-3.6279113507885676,20.783236,1.5498161
264.3839453169517,-3.256447283503702,-3.6210003538146576,18.679115,1.5831375
264.34670208526506,-3.2821813811835874,-3.612911335921179,20.749538,1.3691978
264.4267334351589,-3.2146401708729706,-3.6026553630842275,19.449717,1.8072681
264.40526148135143,-3.2794348446745345,-3.6024704313263736,20.242764,1.3373451
264.3691417570446,-3.2224222711759882,-3.5975770785723413,20.247667,1.7419586
264.42928934458433,-3.2660270752346596,-3.596151468722201,19.206347,1.5628624
264.4093995769639,-3.2916918865783877,-3.554471645375401,20.539621,1.6015987
264.443703483356,-3.261365676063843,-3.5480822534197443,20.291597,1.4570694
264.3467903100147,-3.2664357235080907,-3.5469340681194503,20.627966,1.4554882
264.4791519734253,-3.245430111975531,-3.5275321335070298,20.66487,1.0298672
264.38362706583223,-3.2861105960931374,-3.5238360387672354,20.033798,1.5716591
264.3832130043753,-3.310279358170064,-3.503223434424812,20.747663,1.4029217
264.3922059933581,-3.214409134373197,-3.5003747020836613,20.295988,1.5973415
